ipv4_address,first_seen,last_seen
103.43.132.99,2/21/2017 20:07,2/27/2017 16:52
103.47.250.75,10/13/2016 3:55,2/4/2017 21:32
104.18.46.126,6/9/2020 8:47,12/18/2020 21:09
104.18.47.126,6/9/2020 8:47,12/18/2020 21:09
104.24.110.120,9/9/2020 7:53,12/18/2020 21:08
104.24.111.120,9/9/2020 7:53,12/18/2020 21:08
104.247.81.50,5/25/2020 3:37,6/4/2020 19:27
104.27.160.206,9/11/2020 8:20,12/18/2020 21:08
104.27.161.206,9/11/2020 8:20,12/18/2020 21:08
104.27.162.35,9/17/2020 11:16,12/18/2020 21:08
104.27.163.35,9/17/2020 11:16,12/18/2020 21:08
104.28.16.34,9/11/2020 13:00,12/18/2020 21:08
104.28.17.34,9/11/2020 13:00,12/18/2020 21:08
104.31.68.49,9/10/2020 8:12,12/18/2020 21:08
104.31.68.59,6/11/2020 1:21,12/18/2020 21:09
104.31.69.49,9/10/2020 8:12,12/18/2020 21:08
104.31.69.59,6/11/2020 1:21,12/18/2020 21:09
107.149.85.142,1/7/2019 5:06,12/28/2019 18:25
107.161.23.204,6/8/2020 21:40,6/8/2020 21:40
109.230.239.166,8/17/2012 17:06,8/17/2012 17:06
109.70.26.37,3/13/2016 14:53,3/27/2016 17:58
109.94.209.128,3/6/2019 23:03,3/18/2019 4:10
113.10.173.13,5/16/2016 0:14,5/16/2016 0:14
113.10.173.222,11/8/2016 21:59,11/8/2016 21:59
120.136.10.25,10/1/2018 9:16,9/24/2019 19:11
134.249.133.142,10/7/2017 1:21,8/14/2018 8:10
144.76.40.132,8/23/2014 9:46,8/28/2014 8:55
149.93.161.163,9/21/2010 17:51,9/21/2010 17:51
150.95.255.38,12/17/2019 5:36,12/21/2019 15:30
151.80.132.85,5/2/2015 3:40,7/11/2015 21:31
157.7.107.69,12/31/2019 6:20,12/13/2020 10:05
172.67.130.30,9/11/2020 13:00,12/18/2020 21:08
172.67.139.30,9/17/2020 11:16,12/18/2020 21:08
172.67.169.86,9/11/2020 8:20,12/18/2020 21:08
172.67.194.109,6/9/2020 8:47,12/18/2020 21:09
172.67.196.171,9/9/2020 7:53,12/18/2020 21:08
172.67.210.41,6/11/2020 1:21,12/18/2020 21:09
172.67.212.193,9/10/2020 8:12,12/18/2020 21:08
176.9.168.190,5/13/2015 10:31,5/25/2015 13:00
176.9.31.81,4/27/2012 15:12,4/27/2012 15:12
185.117.119.170,5/6/2019 8:01,3/3/2020 15:51
185.117.119.71,4/5/2019 15:13,4/25/2019 18:52
185.118.166.231,5/23/2017 5:10,9/16/2017 4:11
185.12.95.238,10/26/2014 12:26,2/14/2015 16:24
185.144.28.207,4/17/2018 1:06,9/9/2018 1:06
